ID,University Name,Year,Win,Loss,Off.Rank,Off.Plays,Off.Yards,Off.Yards.Play,Off.TDs,Total.TDs,Off.Yards.per.Game,Def.Rank,Def.Plays,Yards.Allowed,Yards.Play.Allowed,Off.TDs.Allowed,Total.TDs.Allowed,Yards.Per.Game.Allowed,First.Down.Rank,First.Down.Runs,First.Down.Passes,First.Down.Penalties,First.Downs,First.Down.Def.Rank,Opp.First.Down.Runs
Akron - 2013,Akron ,2013,5,7,106,837,4104,4.9,30,31,342,59,865,4764,5.51,43,44,397,54,106,133,19,258,54,106
Alabama - 2013,Alabama ,2013,11,2,33,826,5903,7.15,58,65,454.1,5,771,3725,4.83,21,23,286.5,4,78,101,15,194,4,78
Arizona - 2013,Arizona ,2013,8,5,31,1030,5960,5.79,52,57,458.5,62,991,5214,5.26,38,39,401.1,79,122,139,15,276,79,122
Arizona St. - 2013,Arizona St. ,2013,10,4,32,1102,6402,5.81,64,69,457.3,42,942,5213,5.53,45,48,372.4,30,94,135,14,243,30,94
Arkansas - 2013,Arkansas ,2013,3,9,99,775,4286,5.53,29,30,357.2,76,814,4961,6.09,46,49,413.4,64,127,127,12,266,64,127
Arkansas St. - 2013,Arkansas St. ,2013,8,5,65,947,5301,5.6,45,48,407.8,74,929,5370,5.78,42,43,413.1,71,120,125,24,269,71,120
Army West Point - 2013,Army West Point ,2013,3,9,79,847,4648,5.49,38,38,387.3,71,753,4930,6.55,48,49,410.8,23,126,100,9,235,23,126
Auburn - 2013,Auburn ,2013,12,2,11,1014,7018,6.92,68,73,501.3,86,989,5890,5.96,38,41,420.7,101,116,152,20,288,101,116
Ball St. - 2013,Ball St. ,2013,10,3,19,960,6202,6.46,63,64,477.1,77,965,5380,5.58,36,39,413.8,83,135,129,16,280,83,135
Baylor - 2013,Baylor ,2013,11,2,1,1074,8044,7.49,82,91,618.8,28,986,4684,4.75,38,41,360.3,28,98,109,35,242,28,98
Boston College - 2013,Boston College ,2013,7,6,92,791,4774,6.04,41,43,367.2,92,941,5577,5.93,45,48,429,82,118,150,11,279,82,118
Bowling Green - 2013,Bowling Green ,2013,10,4,29,983,6432,6.54,57,62,459.4,10,890,4500,5.06,27,29,321.4,27,104,117,20,241,27,104
Buffalo - 2013,Buffalo ,2013,8,5,77,965,5131,5.32,46,51,394.7,49,890,4976,5.59,39,40,382.8,34,108,117,21,246,34,108
BYU - 2013,BYU ,2013,8,5,14,1111,6417,5.78,43,47,493.6,47,1028,4925,4.79,30,33,378.8,61,100,136,27,263,61,100
California - 2013,California ,2013,1,11,34,1045,5443,5.21,32,32,453.6,122,898,6355,7.08,64,72,529.6,113,109,159,29,297,113,109
Central Mich. - 2013,Central Mich. ,2013,6,6,108,756,4093,5.41,31,35,341.1,66,831,4862,5.85,39,43,405.2,40,128,110,14,252,40,128
Cincinnati - 2013,Cincinnati ,2013,9,4,23,985,6137,6.23,56,57,472.1,9,861,4103,4.77,28,34,315.6,14,80,131,19,230,14,80
Clemson - 2013,Clemson ,2013,11,2,10,1037,6600,6.36,65,69,507.7,25,921,4637,5.03,36,37,356.7,22,99,111,24,234,22,99
Colorado - 2013,Colorado ,2013,4,8,87,832,4439,5.34,31,36,369.9,106,924,5616,6.08,55,58,468,74,118,141,12,271,74,118
Duke - 2013,Duke ,2013,10,4,47,1016,5966,5.87,54,60,426.1,82,1033,5852,5.67,42,48,418,121,141,150,20,311,121,141
East Carolina - 2013,East Carolina ,2013,10,3,25,1028,6086,5.92,65,68,468.2,36,979,4794,4.9,36,39,368.8,64,97,154,15,266,64,97
Eastern Mich. - 2013,Eastern Mich. ,2013,2,10,109,781,4033,5.16,27,30,336.1,118,806,6130,7.61,66,71,510.8,89,139,125,18,282,89,139
FIU - 2013,FIU ,2013,1,11,123,738,2628,3.56,13,13,219,94,784,5156,6.58,54,57,429.7,51,120,111,25,256,51,120
Fla. Atlantic - 2013,Fla. Atlantic ,2013,6,6,82,852,4575,5.37,37,41,381.3,11,801,3911,4.88,29,32,325.9,8,97,97,14,208,8,97
Florida - 2013,Florida ,2013,4,8,113,793,3800,4.79,25,27,316.7,8,712,3771,5.3,26,27,314.3,3,87,83,22,192,3,87
Florida St. - 2013,Florida St. ,2013,14,0,6,947,7267,7.67,84,94,519.1,3,963,3940,4.09,21,21,281.4,17,101,110,21,232,17,101
Georgia - 2013,Georgia ,2013,8,5,17,945,6294,6.66,57,58,484.2,45,902,4882,5.41,43,47,375.5,40,101,126,25,252,40,101
Georgia Tech - 2013,Georgia Tech ,2013,7,6,44,916,5586,6.1,58,61,429.7,27,849,4683,5.52,36,38,360.2,51,83,159,14,256,51,83
Houston - 2013,Houston ,2013,8,5,55,953,5454,5.72,49,54,419.5,79,1034,5405,5.23,33,34,415.8,103,119,150,21,290,103,119
Idaho - 2013,Idaho ,2013,1,11,90,925,4420,4.78,27,27,368.3,121,917,6353,6.93,72,76,529.4,121,131,159,21,311,121,131
Illinois - 2013,Illinois ,2013,4,8,46,866,5120,5.91,43,45,426.7,110,867,5778,6.66,54,55,481.5,93,133,131,20,284,93,133
Indiana - 2013,Indiana ,2013,5,7,9,928,6102,6.58,61,62,508.5,120,940,6335,6.74,59,63,527.9,120,149,149,12,310,120,149
Iowa - 2013,Iowa ,2013,8,5,84,932,4901,5.26,37,42,377,6,861,3940,4.58,28,30,303.1,7,96,103,8,207,7,96
Iowa St. - 2013,Iowa St. ,2013,3,9,96,903,4356,4.82,35,37,363,105,918,5557,6.05,50,56,463.1,62,116,131,17,264,62,116
Kansas - 2013,Kansas ,2013,3,9,117,825,3534,4.28,21,22,294.5,96,892,5191,5.82,45,48,432.6,64,108,135,23,266,64,108
Kansas St. - 2013,Kansas St. ,2013,8,5,71,828,5235,6.32,51,56,402.7,26,919,4665,5.08,33,35,358.8,38,109,127,13,249,38,109
Kent St. - 2013,Kent St. ,2013,4,8,88,797,4427,5.55,30,31,368.9,70,813,4919,6.05,40,40,409.9,56,136,107,16,259,56,136
Kentucky - 2013,Kentucky ,2013,2,10,107,774,4094,5.29,30,30,341.2,91,819,5126,6.26,48,49,427.2,45,122,117,16,255,45,122
La.-Monroe - 2013,La.-Monroe ,2013,6,6,98,860,4324,5.03,32,36,360.3,90,880,5122,5.82,41,46,426.8,45,113,127,15,255,45,113
Louisiana - 2013,Louisiana ,2013,9,4,56,883,5418,6.14,54,59,416.8,56,888,5116,5.76,37,43,393.5,63,106,139,20,265,63,106
Louisiana Tech - 2013,Louisiana Tech ,2013,4,8,94,858,4394,5.12,24,25,366.2,69,925,4899,5.3,37,39,408.3,58,136,116,9,261,58,136
Louisville - 2013,Louisville ,2013,12,1,28,894,5991,6.7,51,57,460.8,1,779,3269,4.2,18,18,251.5,1,70,93,20,183,1,70
LSU - 2013,LSU ,2013,10,3,35,849,5893,6.94,60,61,453.3,15,872,4429,5.08,30,32,340.7,34,103,124,19,246,34,103
Marshall - 2013,Marshall ,2013,10,4,12,1093,7005,6.41,76,80,500.4,35,1053,5160,4.9,37,40,368.6,76,128,123,24,275,76,128
Maryland - 2013,Maryland ,2013,7,6,75,891,5160,5.79,36,39,396.9,44,957,4867,5.09,38,38,374.4,43,104,137,13,254,43,104
Massachusetts - 2013,Massachusetts ,2013,1,11,120,787,3379,4.29,14,15,281.6,98,788,5199,6.6,45,50,433.3,45,125,116,14,255,45,125
Memphis - 2013,Memphis ,2013,3,9,116,799,3738,4.68,23,27,311.5,39,857,4448,5.19,34,37,370.7,39,86,138,26,250,39,86
Miami - 2013,Miami ,2013,9,4,48,820,5536,6.75,50,57,425.8,89,964,5543,5.75,42,43,426.4,97,123,154,10,287,97,123
Miami - 2013,Miami ,2013,0,12,122,737,2710,3.68,13,14,225.8,113,915,5811,6.35,52,55,484.3,119,155,145,9,309,119,155
Michigan - 2013,Michigan ,2013,7,6,86,893,4855,5.44,48,52,373.5,41,912,4829,5.29,37,40,371.5,45,108,138,9,255,45,108
Michigan St. - 2013,Michigan St. ,2013,13,1,80,999,5397,5.4,46,51,385.5,2,873,3531,4.04,20,21,252.2,5,64,110,26,200,5,64
Middle Tenn. - 2013,Middle Tenn. ,2013,8,5,66,929,5298,5.7,42,49,407.5,63,987,5235,5.3,41,43,402.7,97,146,126,15,287,97,146
Minnesota - 2013,Minnesota ,2013,8,5,105,853,4463,5.23,35,42,343.3,43,858,4852,5.66,35,36,373.2,33,108,123,14,245,33,108
Mississippi St. - 2013,Mississippi St. ,2013,7,6,42,956,5647,5.91,47,48,434.4,18,833,4541,5.45,35,36,349.3,17,94,123,15,232,17,94
Missouri - 2013,Missouri ,2013,12,2,16,1042,6870,6.59,66,71,490.7,81,1080,5848,5.41,38,39,417.7,113,120,160,17,297,113,120
Navy - 2013,Navy ,2013,9,4,61,921,5347,5.81,58,58,411.3,57,908,5132,5.65,40,41,394.8,91,142,133,8,283,91,142
NC State - 2013,NC State ,2013,3,9,70,945,4842,5.12,28,31,403.5,61,814,4793,5.89,45,48,399.4,26,102,122,15,239,26,102
Nebraska - 2013,Nebraska ,2013,9,4,58,962,5361,5.57,49,54,412.4,40,926,4820,5.21,38,38,370.8,58,108,130,23,261,58,108
New Mexico St. - 2013,New Mexico St. ,2013,2,10,81,851,4622,5.43,32,32,385.2,123,862,6594,7.65,66,71,549.5,103,161,120,9,290,103,161
North Carolina - 2013,North Carolina ,2013,7,6,49,943,5534,5.87,47,55,425.7,64,993,5241,5.28,35,38,403.2,81,122,142,14,278,81,122
North Texas - 2013,North Texas ,2013,9,4,63,951,5336,5.61,47,55,410.5,17,881,4528,5.14,25,30,348.3,15,85,122,24,231,15,85
Northern Ill. - 2013,Northern Ill. ,2013,12,2,5,1073,7277,6.78,68,71,519.8,78,1068,5808,5.44,41,43,414.9,118,120,173,15,308,118,120
Northwestern - 2013,Northwestern ,2013,5,7,73,889,4795,5.39,31,35,399.6,88,930,5082,5.46,36,40,423.5,97,123,155,9,287,97,123
Notre Dame - 2013,Notre Dame ,2013,9,4,67,869,5280,6.08,39,42,406.2,31,930,4760,5.12,32,34,366.2,83,130,127,23,280,83,130
Ohio - 2013,Ohio ,2013,7,6,83,887,4932,5.56,38,43,379.4,67,918,5276,5.75,45,46,405.8,70,110,133,24,267,70,110
Ohio St. - 2013,Ohio St. ,2013,12,2,7,1003,7167,7.15,83,87,511.9,46,1000,5284,5.28,40,42,377.4,91,102,166,15,283,91,102
Oklahoma - 2013,Oklahoma ,2013,11,2,52,942,5499,5.84,43,50,423,20,846,4552,5.38,34,36,350.2,19,92,118,23,233,19,92
Oklahoma St. - 2013,Oklahoma St. ,2013,10,3,37,987,5834,5.91,61,68,448.8,52,1049,5004,4.77,27,33,384.9,97,115,143,29,287,97,115
Ole Miss - 2013,Ole Miss ,2013,8,5,21,1018,6153,6.04,46,49,473.3,38,917,4816,5.25,37,38,370.5,64,123,128,15,266,64,123
Oregon - 2013,Oregon ,2013,11,2,2,973,7345,7.55,74,81,565,37,1042,4811,4.62,31,32,370.1,74,123,121,27,271,74,123
Oregon St. - 2013,Oregon St. ,2013,7,6,26,980,6071,6.19,53,59,467,100,924,5676,6.14,48,51,436.6,93,123,144,17,284,93,123
Penn St. - 2013,Penn St. ,2013,7,5,43,910,5198,5.71,43,43,433.2,48,864,4576,5.3,34,38,381.3,19,86,140,7,233,19,86
Pittsburgh - 2013,Pittsburgh ,2013,7,6,97,853,4708,5.52,41,43,362.2,34,865,4778,5.52,39,43,367.5,30,105,119,19,243,30,105
Purdue - 2013,Purdue ,2013,1,11,119,745,3395,4.56,21,23,282.9,104,886,5519,6.23,55,61,459.9,110,162,119,14,295,110,162
Rice - 2013,Rice ,2013,10,4,68,1046,5678,5.43,51,54,405.6,30,957,5097,5.33,41,43,364.1,34,117,114,15,246,34,117
Rutgers - 2013,Rutgers ,2013,6,7,95,897,4747,5.29,39,44,365.2,73,944,5366,5.68,48,49,412.8,76,79,181,15,275,76,79
SMU - 2013,SMU ,2013,5,7,41,945,5222,5.53,36,38,435.2,72,887,4951,5.58,47,54,412.6,71,101,145,23,269,71,101
South Alabama - 2013,South Alabama ,2013,6,6,50,882,5106,5.79,41,43,425.5,50,820,4611,5.62,35,36,384.3,24,112,112,13,237,24,112
South Carolina - 2013,South Carolina ,2013,11,2,36,920,5880,6.39,57,57,452.3,19,833,4550,5.46,31,32,350,12,106,103,19,228,12,106
South Fla. - 2013,South Fla. ,2013,2,10,121,716,3066,4.28,11,16,255.5,21,777,4209,5.42,35,43,350.8,25,100,114,24,238,25,100
Southern California - 2013,Southern California ,2013,10,4,72,924,5599,6.06,49,53,399.9,13,942,4693,4.98,34,39,335.2,45,95,135,25,255,45,95
Southern Miss. - 2013,Southern Miss. ,2013,1,11,114,820,3786,4.62,24,24,315.5,99,890,5226,5.87,62,68,435.5,101,136,131,21,288,101,136
Stanford - 2013,Stanford ,2013,11,3,69,895,5675,6.34,51,56,405.4,16,989,4804,4.86,30,31,343.1,83,98,154,28,280,83,98
Syracuse - 2013,Syracuse ,2013,7,6,85,958,4899,5.11,38,38,376.8,33,897,4773,5.32,41,42,367.2,30,98,122,23,243,30,98
TCU - 2013,TCU ,2013,4,8,104,822,4138,5.03,34,37,344.8,24,886,4277,4.83,28,33,356.4,10,87,114,21,222,10,87
Temple - 2013,Temple ,2013,2,10,74,840,4788,5.7,40,42,399,108,888,5683,6.4,41,42,473.6,96,107,152,27,286,96,107
Tennessee - 2013,Tennessee ,2013,5,7,102,804,4240,5.27,30,35,353.3,83,827,5021,6.07,43,46,418.4,45,129,112,14,255,45,129
Texas - 2013,Texas ,2013,8,5,64,1005,5313,5.29,43,46,408.7,68,966,5294,5.48,34,39,407.2,76,131,128,16,275,76,131
Texas A&M - 2013,Texas A&M ,2013,9,4,4,954,6999,7.34,73,78,538.4,109,973,6185,6.36,54,55,475.8,117,147,140,17,304,117,147
Texas St. - 2013,Texas St. ,2013,6,6,111,771,3915,5.08,33,37,326.3,58,880,4760,5.41,38,41,396.7,13,93,121,15,229,13,93
Texas Tech - 2013,Texas Tech ,2013,8,5,8,1136,6643,5.85,54,57,511,84,1015,5441,5.36,48,51,418.5,88,136,125,20,281,88,136
Toledo - 2013,Toledo ,2013,7,5,39,843,5368,6.37,45,49,447.3,87,870,5061,5.82,44,45,421.8,83,116,145,19,280,83,116
Troy - 2013,Troy ,2013,6,6,27,920,5559,6.04,51,54,463.3,112,869,5798,6.67,55,58,483.2,79,113,138,25,276,79,113
Tulane - 2013,Tulane ,2013,7,6,115,870,4053,4.66,34,39,311.8,22,931,4577,4.92,30,33,352.1,42,85,142,26,253,42,85
Tulsa - 2013,Tulsa ,2013,3,9,100,912,4274,4.69,27,29,356.2,93,934,5155,5.52,46,52,429.6,53,119,133,5,257,53,119
UAB - 2013,UAB ,2013,2,10,78,808,4715,5.84,36,38,392.9,116,829,5974,7.21,67,71,497.8,110,134,133,28,295,110,134
UCF - 2013,UCF ,2013,12,1,40,875,5740,6.56,54,55,441.5,29,879,4706,5.35,34,36,362,37,88,139,21,248,37,88
UCLA - 2013,UCLA ,2013,10,3,38,956,5830,6.1,61,63,448.5,54,990,5032,5.08,35,37,387.1,107,123,139,31,293,107,123
UConn - 2013,UConn ,2013,3,9,112,827,3823,4.62,28,31,318.6,51,836,4615,5.52,40,46,384.6,19,84,129,20,233,19,84
Utah - 2013,Utah ,2013,5,7,76,864,4759,5.51,41,43,396.6,60,887,4772,5.38,35,41,397.7,28,82,145,15,242,28,82
UTEP - 2013,UTEP ,2013,2,10,103,826,4175,5.05,31,34,347.9,107,756,5620,7.43,61,62,468.3,60,139,108,15,262,60,139
Vanderbilt - 2013,Vanderbilt ,2013,9,4,93,880,4765,5.41,49,49,366.5,23,909,4612,5.07,37,40,354.8,57,110,133,17,260,57,110
Virginia - 2013,Virginia ,2013,2,10,89,995,4421,4.44,27,27,368.4,65,856,4843,5.66,47,51,403.6,11,98,108,20,226,11,98
Virginia Tech - 2013,Virginia Tech ,2013,8,5,101,925,4628,5,33,35,356,4,810,3687,4.55,25,31,283.6,2,74,101,16,191,2,74
Wake Forest - 2013,Wake Forest ,2013,4,8,118,802,3488,4.35,25,28,290.7,32,878,4394,5,33,36,366.2,15,99,113,19,231,15,99
Washington - 2013,Washington ,2013,9,4,13,1023,6491,6.35,60,64,499.3,55,1015,5051,4.98,35,37,388.5,83,114,143,23,280,83,114
